Legend Name, String to Match, Color
Hypothetical, hypothetical, #ffffff
Uncharacterized, uncharacterized, #ffff00
Transcription, transcriptional|transcription|transcriptase, #1ce6ff
Translation, translation, #ff34ff
Repair, repair, #ff4a46
Nuclease, nuclease, #008941
Transferase, transferase, #006fa6
Transposase, transposase, #a30059
Synthase, synthase, #ffdbe5
Integrase, integrase, #7a4900
Transport, transport, #0000a6
Reductase, reductase, #63ffac
Oxidase, oxidase, #b79762
Elongation, elongation, #004d43
Kinase, kinase, #8fb0ff
Deiminase, deiminase, #997d87
Membrane-related, membrane, #5a0007
Secretion, secretion, #809693
Glucose-related, glucose|gluco, #feffe6
Helicase, helicase, #1b4400
Esterase, esterase, #4fc601
DNA-binding, DNA-binding, #3b5dff
Dehydrogenase, dehydrogenase, #4a3b53
Galactosidase, galactosidase, #ff2f80
Lipoprotein, lipoprotein, #61615a
Peptidase, peptidase, #ba0900
Resistance, resistance, #00c2a0
